transaction_id,user_id,transaction_amount,merchant_category,transaction_hour,day_of_week,device_type,location_city,distance_from_home,is_new_device,failed_attempts_last_1hr,avg_transaction_amount_30d,is_fraud
TXN0000001,USR34321,6703.07,fuel,19,1,mobile,Jaipur,13.45,0,0,9279.82,0
TXN0000002,USR20031,35990.49,electronics,12,0,mobile,Kolkata,5.43,0,0,28091.42,0
TXN0000003,USR19862,17316.27,electronics,18,4,POS,Pune,11.02,0,0,14646.82,0
TXN0000004,USR30221,638.32,fuel,14,4,mobile,Chennai,26.97,0,1,396.88,0
TXN0000005,USR23407,6837.65,restaurant,15,3,web,Surat,10.02,0,0,5831.27,0
TXN0000006,USR15564,12558.23,grocery,19,0,web,Pune,29.35,0,0,15995.15,0
TXN0000007,USR48358,2377.1,fuel,9,2,mobile,Jaipur,9.51,0,0,1507.47,0
TXN0000008,USR10114,951.73,fuel,9,6,POS,Chennai,1.1,0,0,758.82,0
TXN0000009,USR35744,7038.28,clothing,7,2,web,Hyderabad,3.67,0,0,7786.92,0
TXN0000010,USR41628,1415.92,electronics,9,4,web,Delhi,37.54,0,0,1185.34,0
TXN0000011,USR39866,2153.17,jewelry,4,1,POS,Bangalore,20.32,0,0,2434.63,0
TXN0000012,USR33404,18826.42,pharmacy,6,3,mobile,Chennai,15.09,0,0,21031.1,0
TXN0000013,USR13271,5767.96,travel,13,1,mobile,Hyderabad,17.38,0,2,7972.75,0
TXN0000014,USR45017,2033.7,travel,19,0,mobile,Delhi,6.37,0,0,1688.41,0
TXN0000015,USR43643,12939.37,clothing,22,3,mobile,Bangalore,79.42,0,0,10847.81,0
TXN0000016,USR14020,6616.74,restaurant,18,3,mobile,Bangalore,7.34,0,0,4267.74,0
TXN0000017,USR29006,6614.27,utilities,11,4,POS,Chennai,3.74,0,0,7768.47,0
TXN0000018,USR04757,10322.98,fuel,12,6,mobile,Pune,5.01,0,0,9376.99,0
TXN0000019,USR06637,1126.31,grocery,17,1,web,Bangalore,13.6,0,0,1163.46,0
TXN0000020,USR47102,6755.75,fuel,15,1,POS,Surat,2.58,0,1,5149.01,0
TXN0000021,USR30223,7585.07,grocery,6,1,web,Hyderabad,7.22,0,0,8225.2,0
TXN0000022,USR25938,11083.42,utilities,14,6,mobile,Chennai,19.36,0,0,11426.14,0
TXN0000023,USR09862,7448.86,utilities,20,2,POS,Chennai,11.01,0,0,6937.61,0
TXN0000024,USR19424,1825.44,restaurant,13,0,mobile,Delhi,22.81,0,0,2503.25,0
TXN0000025,USR27915,3463.36,fuel,23,4,web,Chennai,1.05,0,0,2089.77,0
TXN0000026,USR25307,18054.13,utilities,12,2,web,Hyderabad,0.75,0,0,24238.13,0
TXN0000027,USR33293,3781.64,utilities,2,0,POS,Ahmedabad,0.73,0,0,4768.93,0
TXN0000028,USR03322,3745.25,pharmacy,21,4,mobile,Chennai,17.58,0,0,2805.29,0
TXN0000029,USR08485,4227.49,pharmacy,9,4,mobile,Hyderabad,13.84,0,1,4148.15,0
TXN0000030,USR36533,17870.13,travel,10,0,mobile,Jaipur,4.77,0,0,23155.11,0
TXN0000031,USR36764,2966.63,electronics,2,2,web,Hyderabad,31.81,0,0,1896.61,0
TXN0000032,USR49707,29163.9,electronics,7,2,web,Delhi,5.91,0,1,21515.05,0
TXN0000033,USR12442,1879.48,fuel,14,6,POS,Chennai,32.19,0,0,1270.38,0
TXN0000034,USR41904,10986.11,grocery,18,2,mobile,Bangalore,10.48,0,1,11618.35,0
TXN0000035,USR04391,41886.17,clothing,12,0,mobile,Kolkata,22.87,0,0,35782.45,0
TXN0000036,USR24004,8439.64,utilities,9,1,web,Kolkata,24.62,0,0,7204.13,0
TXN0000037,USR19983,12919.05,utilities,13,0,mobile,Chennai,21.95,0,0,9427.59,0
TXN0000038,USR19064,8700.21,entertainment,11,6,mobile,Bangalore,63.46,0,0,7016.85,0
TXN0000039,USR04481,3165.55,grocery,0,3,web,Jaipur,4.37,0,0,4279.82,0
TXN0000040,USR26478,5673.89,clothing,9,1,POS,Chennai,1.88,0,0,6396.96,0
TXN0000041,USR10474,13652.24,fuel,15,3,POS,Chennai,7.57,0,0,9487.01,0
TXN0000042,USR40613,4582.06,utilities,14,6,mobile,Delhi,6.88,0,0,5185.76,0
TXN0000043,USR29070,49059.48,clothing,16,5,web,Kolkata,8.65,0,0,30866.81,0
TXN0000044,USR49324,3443.23,clothing,12,4,POS,Chennai,4.29,0,0,2349.56,0
TXN0000045,USR17050,21600.94,entertainment,10,1,mobile,Surat,0.24,0,0,16352.14,0
TXN0000046,USR32744,3662.16,restaurant,8,0,mobile,Pune,8.15,0,0,2897.87,0
TXN0000047,USR47223,2460.23,electronics,22,4,web,Mumbai,0.66,0,0,1544.62,0
TXN0000048,USR48053,2338.0,utilities,18,2,mobile,Hyderabad,24.23,0,0,2890.15,0
TXN0000049,USR15116,3015.51,fuel,14,6,mobile,Delhi,0.85,0,0,3377.07,0
TXN0000050,USR33598,5672.83,entertainment,11,4,mobile,Delhi,10.13,0,0,5834.35,0
TXN0000051,USR44110,4359.42,grocery,20,0,web,Kolkata,4.11,0,0,4303.15,0
TXN0000052,USR34386,11115.34,restaurant,11,6,mobile,Surat,5.19,0,0,12222.76,0
TXN0000053,USR05926,1454.85,utilities,17,6,mobile,Hyderabad,1.54,0,0,1138.07,0
TXN0000054,USR19331,22761.1,restaurant,19,5,POS,Kolkata,2.45,0,0,24469.57,0
TXN0000055,USR10985,4047.21,utilities,7,2,mobile,Ahmedabad,13.88,0,0,3292.61,0
TXN0000056,USR12748,3172.32,entertainment,16,6,web,Mumbai,1.9,0,0,3860.71,0
TXN0000057,USR47355,1857.95,grocery,20,2,POS,Ahmedabad,12.7,0,2,2220.53,0
TXN0000058,USR26044,7699.6,entertainment,7,1,web,Surat,18.2,0,0,5620.04,0
TXN0000059,USR11846,21809.32,electronics,21,3,mobile,Jaipur,41.56,1,1,5991.21,1
TXN0000060,USR38230,538.54,entertainment,14,3,mobile,Ahmedabad,57.61,0,0,687.23,0
TXN0000061,USR31078,12987.32,electronics,5,0,web,Bangalore,0.52,0,0,9973.39,0
TXN0000062,USR14220,2195.78,restaurant,20,3,mobile,Kolkata,17.33,0,0,2428.82,0
TXN0000063,USR25268,5008.06,electronics,7,5,POS,Kolkata,10.07,0,0,4812.04,0
TXN0000064,USR08537,13683.14,electronics,11,6,web,Bangalore,12.7,0,1,16175.44,0
TXN0000065,USR46641,5940.18,restaurant,16,5,mobile,Ahmedabad,14.28,0,0,5612.62,0
TXN0000066,USR31225,3680.57,pharmacy,17,1,mobile,Mumbai,0.44,0,0,3168.48,0
TXN0000067,USR16404,6116.8,utilities,10,1,web,Surat,12.43,0,0,7322.27,0
TXN0000068,USR14994,11161.22,restaurant,21,3,mobile,Pune,13.71,0,0,12288.89,0
TXN0000069,USR26617,956.38,electronics,9,1,web,Chennai,33.82,0,0,704.83,0
TXN0000070,USR10842,5850.11,restaurant,9,4,mobile,Chennai,30.62,0,2,5369.33,0
